institution,country,national_rank
Semmelweis University,Hungary,2
University of Science and Technology Beijing,China,29
"National University of Ireland, Galway",Ireland,4
Dankook University,South Korea,21
Istanbul University,Turkey,2
Tokyo University of Agriculture and Technology,Japan,40
University of Montana - Missoula,USA,177
Queensland University of Technology,Australia,14
Binghamton University,USA,178
Université de Namur,Belgium,8
University of Tasmania,Australia,15
University of Pretoria,South Africa,5
Central China Normal University,China,30
Indian Institute of Technology Roorkee,India,10
Curtin University,Australia,16
Deakin University,Australia,17
Tilburg University,Netherlands,13
Inha University,South Korea,22
University of New Orleans,USA,179
Paris-Est Créteil Val-de-Marne University,France,28
University of L'Aquila,Italy,34
Chungnam National University,South Korea,23
University of Salamanca,Spain,18
University of Alaska Fairbanks,USA,180
University of Poitiers,France,29
Albany Medical College,USA,181
"Birkbeck, University of London",United Kingdom,46
Griffith University,Australia,18
Federal University of São Paulo,Brazil,6
Carleton University,Canada,22
Massey University,New Zealand,5
Catholic University of Korea,South Korea,24
Open University (UK),United Kingdom,47
University of Patras,Greece,5
Universidade Nova de Lisboa,Portugal,5
Texas A&M Health Science Center,USA,182
Braunschweig University of Technology,Germany,45
National Chung Hsing University,Taiwan,8
La Trobe University,Australia,19
Missouri University of Science and Technology,USA,183
University of Idaho,USA,184
Louisiana Tech University,USA,185
University of Portsmouth,United Kingdom,48
University of La Laguna,Spain,19
Florida International University,USA,186
Medical University of Graz,Austria,7
Howard University,USA,187
University of Hertfordshire,United Kingdom,49
State University of New York Upstate Medical University,USA,188
Royal College of Surgeons in Ireland,Ireland,5
National Technical University of Athens,Greece,6
University of Windsor,Canada,23
Rovira i Virgili University,Spain,20
University of Burgundy,France,30
Gunma University,Japan,41
AGH University of Science and Technology,Poland,3
Gifu University,Japan,42
Hacettepe University,Turkey,3
Örebro University,Sweden,11
Memorial University of Newfoundland,Canada,24
Kindai University,Japan,43
University of Rhode Island,USA,189
University of Alicante,Spain,21
New Jersey Institute of Technology,USA,190
Lille 2 University of Health and Law,France,31
Keele University,United Kingdom,50
University of Jyväskylä,Finland,8
Rochester Institute of Technology,USA,191
Sapporo Medical University,Japan,44
Banaras Hindu University,India,11
King Abdullah University of Science and Technology,Saudi Arabia,2
Northeast Normal University,China,31
Portland State University,USA,192
University of Québec at Montreal,Canada,25
